lnz_0,lnz_1,phase,phase_nebr,delta_w
-8.0,0.5,0,0,inf
-7.157894736842105,0.5,0,0,inf
-6.315789473684211,0.5,0,0,inf
-5.473684210526316,0.5,0,0,inf
-4.631578947368421,0.5,0,0,inf
-3.7894736842105265,0.5,0,0,inf
-2.947368421052632,0.5,0,0,inf
-2.105263157894737,0.5,0,0,inf
-1.2631578947368425,0.5,0,0,inf
-1.2631578947368425,0.5,0,1,246.9724964643106
-1.2631578947368425,0.5,1,0,6.361628763157853
-1.2631578947368425,0.5,1,1,inf
-0.4210526315789478,0.5,0,0,inf
-0.4210526315789478,0.5,0,1,108.87571669473692
-0.4210526315789478,0.5,1,0,61.95541606297522
-0.4210526315789478,0.5,1,1,inf
0.4210526315789469,0.5,0,0,inf
0.4210526315789469,0.5,0,1,35.13467454315793
0.4210526315789469,0.5,1,0,191.9687512600278
0.4210526315789469,0.5,1,1,inf
1.2631578947368425,0.5,0,0,inf
1.2631578947368425,0.5,0,1,7.453078569473689
1.2631578947368425,0.5,1,0,376.4756751175016
1.2631578947368425,0.5,1,1,inf
2.1052631578947363,0.5,1,1,inf
2.94736842105263,0.5,1,1,inf
3.7894736842105257,0.5,1,1,inf
4.631578947368421,0.5,1,1,inf
5.473684210526315,0.5,1,1,inf
6.315789473684209,0.5,1,1,inf
7.157894736842104,0.5,1,1,inf
8.0,0.5,1,1,inf
