component,phase,beta,volume,temp,mu_0,density,pressure,energy,lnz
0,0,0.8333333333333334,512.0,1.2,-3.636707682347933,0.10037480867509155,0.07723407886759903,-0.8555080155949359,-3.0305897352899445
0,1,0.8333333333333334,512.0,1.2,-3.636707682347933,0.5631401654505345,0.07723407886759377,-3.8710466223611895,-3.0305897352899445
0,0,1.3333333333333333,512.0,0.75,-4.262522492231226,0.00362996119765614,0.0026357856802682517,-0.042503270455976495,-5.683363322974968
0,1,1.3333333333333333,512.0,0.75,-4.262522492231226,0.821441476415578,0.0026357856802681446,-5.905438234363048,-5.683363322974968
0,0,1.25,512.0,0.8,-4.156565993864674,0.006102732064709397,0.004646797879378472,-0.06758349366335689,-5.195707492330842
0,1,1.25,512.0,0.8,-4.156565993864674,0.7996050736415379,0.0046467978793786145,-5.71392551657048,-5.195707492330842
0,0,0.9090909090909091,512.0,1.1,-3.722601138420278,0.055063866637712185,0.046018975482124,-0.49316424233261047,-3.3841828531093436
0,1,0.9090909090909091,512.0,1.1,-3.722601138420278,0.640863032686074,0.04601897548188668,-4.431398907892644,-3.3841828531093436
0,0,1.0,512.0,1.0,-3.8344208957675145,0.029565522566762772,0.02495273700169191,-0.2805544799165358,-3.8344208957675145
0,1,1.0,512.0,1.0,-3.8344208957675145,0.7011505011117474,0.024952737001691646,-4.896128222445401,-3.8344208957675145
0,0,1.1111111111111112,512.0,0.8999999999999999,-3.97706966189096,0.014512193016999679,0.011849004427609378,-0.14740680814011797,-4.418966290989956
0,1,1.1111111111111112,512.0,0.8999999999999999,-3.97706966189096,0.7527442290727051,0.0118490044276096,-5.316066251912907,-4.418966290989956
0,0,1.0526315789473684,512.0,0.9500000000000001,-3.901570171017097,0.021019495655769875,0.017534344119093197,-0.20592816997564056,-4.106915969491681
0,1,1.0526315789473684,512.0,0.9500000000000001,-3.901570171017097,0.7276303215952241,0.01753434411909316,-5.109547651597134,-4.106915969491681
0,0,0.9523809523809523,512.0,1.05,-3.7746838243965963,0.04066759312992754,0.0343684309452376,-0.37454351838444594,-3.594936975615806
0,1,0.9523809523809523,512.0,1.05,-3.7746838243965963,0.6720755744319388,0.034368430945237255,-4.669245681513914,-3.594936975615806
0,0,0.8695652173913044,512.0,1.15,-3.6766258226786035,0.07411019373959142,0.06021402974594739,-0.6468884647476841,-3.197065932764003
0,1,0.8695652173913044,512.0,1.15,-3.6766258226786035,0.6051821283730198,0.06021402974589132,-4.168170251709193,-3.197065932764003
0,0,1.1764705882352942,512.0,0.85,-4.061979335110766,0.009640289659646844,0.007636793666013055,-0.10188579179916994,-4.7787992177773715
0,1,1.1764705882352942,512.0,0.85,-4.061979335110766,0.7769144105681997,0.007636793666012793,-5.518500273575045,-4.7787992177773715
0,0,1.4285714285714286,512.0,0.7,-4.379649961628715,0.001997401572406973,0.0013705189361962699,-0.02504216991771906,-6.256642802326736
0,1,1.4285714285714286,512.0,0.7,-4.379649961628715,0.8434780964231485,0.0013705189361964893,-6.100068931388086,-6.256642802326736
